near,far,true_m,buffer_median,nonlinear_mae_mm,nonlinear_rmse_mm,linear_mae_mm,linear_rmse_mm
0.1,3.0,0.3,0.6896551847457886,4.172325135387567e-05,4.172325135387567e-05,1800.002527236938,1800.002527236939
0.1,3.0,0.5,0.8275861144065857,0.00011920928955078125,0.00011920928955078125,2000.0028610229492,2000.0028610229492
0.1,3.0,1.0,0.9310344457626343,0.00011920928955078125,0.00011920928955078125,1800.0032901763916,1800.0032901763916
0.1,3.0,1.5,0.9655172824859619,0.0017881393432617188,0.0017881393432617188,1400.0036716461182,1400.0036716461182
0.1,3.0,2.0,0.9827585220336914,0.0021457672119140625,0.0021457672119140625,950.0033855438232,950.0033855438232
0.1,3.0,2.5,0.9931033849716187,0.0011920928955078125,0.0011920928955078125,480.00335693359375,480.00335693359375
0.05,5.0,0.3,0.8417509198188782,0.0001311302185169616,0.0001311302185169616,3916.662883758547,3916.6628837585445
0.05,5.0,0.5,0.9090909957885742,0.0004172325134277344,0.0004172325134277344,4049.9958992004395,4049.9958992004395
0.05,5.0,1.0,0.9595960378646851,0.001430511474609375,0.001430511474609375,3799.9958992004395,3799.9958992004395
0.05,5.0,1.5,0.9764309525489807,0.001430511474609375,0.001430511474609375,3383.328437805176,3383.328437805176
0.05,5.0,2.0,0.9848484396934509,0.004291534423828125,0.004291534423828125,2924.994945526123,2924.994945526123
0.05,5.0,2.5,0.9898989200592041,0.009775161743164062,0.009775161743164062,2449.9950408935547,2449.9950408935547
