condition,pipeline,n,success_pct,ci_low,ci_high,wrong_motion_pct,no_motion_pct,success_given_executed_pct
clean,raw,20,100.0,83.88698745050667,100.0,0.0,0.0,100.0
clean,safe,20,100.0,83.88698745050667,100.0,0.0,0.0,100.0
nan_10%,raw,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
nan_10%,safe,20,100.0,83.88698745050667,100.0,0.0,0.0,100.0
nan_25%,raw,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
nan_25%,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
nan_50%,raw,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
nan_50%,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
dropout_5%_on_cube,raw,20,0.0,0.0,16.113012549493323,100.0,0.0,0.0
dropout_5%_on_cube,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
dropout_10%_on_cube,raw,20,0.0,0.0,16.113012549493323,100.0,0.0,0.0
dropout_10%_on_cube,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
dropout_25%_on_cube,raw,20,0.0,0.0,16.113012549493323,100.0,0.0,0.0
dropout_25%_on_cube,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
truncated_depth,raw,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
truncated_depth,safe,20,0.0,0.0,16.113012549493323,0.0,100.0,nan
mixed_10%,raw,20,0.0,0.0,16.113012549493323,5.0,95.0,0.0
mixed_10%,safe,20,90.0,69.89617935882066,97.21341060158468,10.0,0.0,90.0
mixed_25%,raw,20,0.0,0.0,16.113012549493323,25.0,75.0,0.0
mixed_25%,safe,20,40.0,21.880396741419272,61.342205768479396,60.0,0.0,40.0
depth_bias_blind,raw,20,0.0,0.0,16.113012549493323,100.0,0.0,0.0
depth_bias_blind,safe,20,0.0,0.0,16.113012549493323,100.0,0.0,0.0
