condition,trial,pipeline,outcome,xy_error_cm,note
clean,0,raw,success,0.38771572209937644,cube_z=0.286
clean,0,safe,success,0.4674145043197911,cube_z=0.286
clean,1,raw,success,0.38372676980234766,cube_z=0.285
clean,1,safe,success,0.486959246425439,cube_z=0.286
clean,2,raw,success,0.3918056477139046,cube_z=0.286
clean,2,safe,success,0.42943734497355734,cube_z=0.286
clean,3,raw,success,0.38022409012283004,cube_z=0.286
clean,3,safe,success,0.4583890138463449,cube_z=0.286
clean,4,raw,success,0.38849577936104895,cube_z=0.286
clean,4,safe,success,0.47200149102457917,cube_z=0.286
clean,5,raw,success,0.36365129767635934,cube_z=0.286
clean,5,safe,success,0.4647459230486652,cube_z=0.286
clean,6,raw,success,0.3573057432503351,cube_z=0.286
clean,6,safe,success,0.42328268034718886,cube_z=0.286
clean,7,raw,success,0.39795909483557923,cube_z=0.286
clean,7,safe,success,0.506577781693883,cube_z=0.286
clean,8,raw,success,0.3864740875240802,cube_z=0.285
clean,8,safe,success,0.44415716169973307,cube_z=0.286
clean,9,raw,success,0.39780625454867324,cube_z=0.286
clean,9,safe,success,0.48955558421819245,cube_z=0.286
clean,10,raw,success,0.3529119098916145,cube_z=0.286
clean,10,safe,success,0.4088480525502541,cube_z=0.286
clean,11,raw,success,0.40024329639779127,cube_z=0.286
clean,11,safe,success,0.4740333273742531,cube_z=0.285
clean,12,raw,success,0.4033102419869804,cube_z=0.286
clean,12,safe,success,0.45750607739719246,cube_z=0.286
clean,13,raw,success,0.3615944469888901,cube_z=0.286
clean,13,safe,success,0.41082219731203445,cube_z=0.286
clean,14,raw,success,0.41655940525498075,cube_z=0.286
clean,14,safe,success,0.5173641804525276,cube_z=0.286
clean,15,raw,success,0.39749213117391824,cube_z=0.286
clean,15,safe,success,0.4977150620254181,cube_z=0.286
clean,16,raw,success,0.3797476341699933,cube_z=0.285
clean,16,safe,success,0.465659274901285,cube_z=0.286
clean,17,raw,success,0.3823081919676691,cube_z=0.286
clean,17,safe,success,0.4602634692103316,cube_z=0.286
clean,18,raw,success,0.3625488704012997,cube_z=0.286
clean,18,safe,success,0.44582544043580846,cube_z=0.285
clean,19,raw,success,0.420346770840262,cube_z=0.286
clean,19,safe,success,0.5260294604170394,cube_z=0.286
nan_10%,0,raw,no_motion,nan,non-finite grasp point
nan_10%,0,safe,success,0.5339375939926555,cube_z=0.286
nan_10%,1,raw,no_motion,nan,non-finite grasp point
nan_10%,1,safe,success,0.33106420298707817,cube_z=0.286
nan_10%,2,raw,no_motion,nan,non-finite grasp point
nan_10%,2,safe,success,0.42876175061235533,cube_z=0.286
nan_10%,3,raw,no_motion,nan,non-finite grasp point
nan_10%,3,safe,success,0.4644810776891578,cube_z=0.286
nan_10%,4,raw,no_motion,nan,non-finite grasp point
nan_10%,4,safe,success,0.503075073403985,cube_z=0.286
nan_10%,5,raw,no_motion,nan,non-finite grasp point
nan_10%,5,safe,success,0.47208843385473204,cube_z=0.286
nan_10%,6,raw,no_motion,nan,non-finite grasp point
nan_10%,6,safe,success,0.4579017381177167,cube_z=0.286
nan_10%,7,raw,no_motion,nan,non-finite grasp point
nan_10%,7,safe,success,0.28086147376564863,cube_z=0.286
nan_10%,8,raw,no_motion,nan,non-finite grasp point
nan_10%,8,safe,success,0.4317091102686062,cube_z=0.286
nan_10%,9,raw,no_motion,nan,non-finite grasp point
nan_10%,9,safe,success,0.5356073420302383,cube_z=0.286
nan_10%,10,raw,no_motion,nan,non-finite grasp point
nan_10%,10,safe,success,0.5335920342602269,cube_z=0.286
nan_10%,11,raw,no_motion,nan,non-finite grasp point
nan_10%,11,safe,success,0.5476294807114966,cube_z=0.286
nan_10%,12,raw,no_motion,nan,non-finite grasp point
nan_10%,12,safe,success,0.554319258552286,cube_z=0.287
nan_10%,13,raw,no_motion,nan,non-finite grasp point
nan_10%,13,safe,success,0.4447010053834639,cube_z=0.285
nan_10%,14,raw,no_motion,nan,non-finite grasp point
nan_10%,14,safe,success,0.5900508595679265,cube_z=0.286
nan_10%,15,raw,no_motion,nan,non-finite grasp point
nan_10%,15,safe,success,0.5203153413804021,cube_z=0.286
nan_10%,16,raw,no_motion,nan,non-finite grasp point
nan_10%,16,safe,success,0.5085151358700629,cube_z=0.286
nan_10%,17,raw,no_motion,nan,non-finite grasp point
nan_10%,17,safe,success,0.5493582386510962,cube_z=0.286
nan_10%,18,raw,no_motion,nan,non-finite grasp point
nan_10%,18,safe,success,0.5575568046227388,cube_z=0.286
nan_10%,19,raw,no_motion,nan,non-finite grasp point
nan_10%,19,safe,success,0.6857534600187492,cube_z=0.286
nan_25%,0,raw,no_motion,nan,non-finite grasp point
nan_25%,0,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,1,raw,no_motion,nan,non-finite grasp point
nan_25%,1,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,2,raw,no_motion,nan,non-finite grasp point
nan_25%,2,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,3,raw,no_motion,nan,non-finite grasp point
nan_25%,3,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,4,raw,no_motion,nan,non-finite grasp point
nan_25%,4,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,5,raw,no_motion,nan,non-finite grasp point
nan_25%,5,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,6,raw,no_motion,nan,non-finite grasp point
nan_25%,6,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,7,raw,no_motion,nan,non-finite grasp point
nan_25%,7,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,8,raw,no_motion,nan,non-finite grasp point
nan_25%,8,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,9,raw,no_motion,nan,non-finite grasp point
nan_25%,9,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,10,raw,no_motion,nan,non-finite grasp point
nan_25%,10,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,11,raw,no_motion,nan,non-finite grasp point
nan_25%,11,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,12,raw,no_motion,nan,non-finite grasp point
nan_25%,12,safe,no_motion,nan,"frame rejected: 25.00% invalid depth pixels (NaN 25.00%, Inf 0.00%, zero 0.0"
nan_25%,13,raw,no_motion,nan,non-finite grasp point
